TargetPath,Url,TotalBytes,StartTime,EndTime,MimeType
E:\ideaIU-2021.2.exe,https://www.jetbrains.com/idea/download/download-thanks.html?platform=windows,775341200,2021-08-16T08:03:59.459166+08:00,2021-08-16T09:06:27.438096+08:00,binary/octet-stream
E:\perfectworldarena_win32_v1.0.22020811.exe,https://pvp.wanmei.com/,175910888,2022-02-10T16:34:23.246403+08:00,2022-02-10T16:36:05.97457+08:00,application/octet-stream
E:\perfectworldarena_win32_v1.0.22020811 (1).exe,https://pvp.wanmei.com/,175910888,2022-02-10T16:35:06.033942+08:00,1601-01-01T00:00:00+08:00,application/octet-stream
E:\chaoxingStudy1.0.6.24699.exe,http://appmarket.chaoxing.com/static/custom/xxt/pc/download.html,165187400,2022-03-14T04:34:59.864585+08:00,2022-03-14T04:36:00.834526+08:00,application/octet-stream
E:\BaiduNetdisk_7.7.5.3.exe,https://pan.baidu.com/s/1lfpR1uyndqWUfUgpGRNnfQ,159606112,2021-09-21T14:05:42.233832+08:00,2021-09-21T14:08:08.872078+08:00,application/x-msdownload
E:\BaiduNetdisk_7.7.0.5.exe,https://pan.baidu.com/s/1H5sCfiymcpGY5h8aO3y68A#list/path=%2FMyEclipse10%E5%AE%89%E8%A3%85%E5%8F%8A%E7%A0%B4%E8%A7%A3,157740400,2021-08-20T08:20:48.038698+08:00,2021-08-20T08:21:12.898856+08:00,application/x-msdownload
E:\EpicInstaller-13.0.0.msi,https://www.epicgames.com/store/zh-CN/,157548544,2021-12-03T14:28:35.417338+08:00,2021-12-03T14:33:28.169385+08:00,application/x-ole-storage
E:\TencentMeeting_0300000000_3.5.5.403.publish.exe,https://meeting.tencent.com/download-win.html,149564056,2022-03-13T05:20:17.31685+08:00,2022-03-13T05:24:18.524164+08:00,application/x-msdownload
E:\virboxprotector_trial_windows.exe,https://shell.virbox.com/down.html,145722720,2021-12-05T11:01:50.005638+08:00,2021-12-05T11:02:34.31185+08:00,application/octet-stream
E:\virboxprotector_2.4.1.15419_windows.exe,https://shell.virbox.com/down.html,143196296,2021-12-05T10:52:43.636288+08:00,2021-12-05T10:53:24.799183+08:00,application/octet-stream
E:\bleachvsnaruto_setup.exe,https://aac075.link.yunpan.360.cn/lk/surl_ySNpb3uUkWV#16125839032400740-0,130378483,2021-11-30T14:56:38.693977+08:00,2021-11-30T15:02:22.189187+08:00,application/octet-stream
E:\Badlion Client Setup 3.4.1.exe,https://client.badlion.net/,124367944,2021-10-31T03:30:27.508701+08:00,2021-10-31T03:34:46.176831+08:00,application/octet-stream
E:\yuanshen_setup_20220315162304.exe,https://ys-api.mihoyo.com/event/download_porter/link/ys_cn/official/pc_adbdsem,123924136,2022-04-07T03:10:33.272509+08:00,2022-04-07T03:11:02.349712+08:00,application/octet-stream
E:\MCLauncher_publish_1.8.0.35383.exe,https://mc.163.com/,123316280,2022-01-30T14:33:26.822767+08:00,2022-01-30T14:33:47.260709+08:00,application/x-msdos-program
E:\MCLauncher_publish_1.8.0.35383.exe,https://x19.gdl.netease.com/MCLauncher_publish_1.8.0.35383.exe,123316280,2022-04-07T16:16:37.677332+08:00,2022-04-07T16:16:56.991614+08:00,application/x-msdos-program
E:\YYSetup-9.3.0.1-zh-CN.exe,https://www.yy.com/web/pcyy_download/,117042776,2022-02-21T10:38:52.654463+08:00,2022-02-21T10:42:19.349243+08:00,application/x-msdos-program
E:\mclauncher_1.7.0.23010.exe,https://mc.163.com/,115227712,2021-12-11T13:47:13.061422+08:00,2021-12-11T13:48:16.384302+08:00,application/octet-stream
E:\mclauncher_1.6.0.42737.exe,https://mc.163.com/,106706848,2021-08-24T11:26:55.419619+08:00,2021-08-24T11:30:43.189797+08:00,application/octet-stream
E:\Feather Launcher Setup 1.1.6.exe,https://feathermc.com/download/windows,104144968,2022-04-24T05:19:16.761674+08:00,1601-01-01T00:00:00+08:00,application/octet-stream
E:\Feather Launcher Setup 1.1.6.exe,https://feathermc.com/download/windows,104144968,2022-04-25T07:18:53.293685+08:00,2022-04-25T07:19:32.094514+08:00,application/octet-stream
E:\WeSing_V1_WIN_KG_2.21.170_0319_GW_D.exe,https://kg.qq.com/index-pc.html,98404944,2021-11-30T12:05:03.14523+08:00,2021-11-30T12:09:35.700678+08:00,application/octet-stream
E:\PCQQ2021.exe,https://im.qq.com/pcqq,92455496,2021-09-04T02:03:10.416872+08:00,2021-09-04T02:03:44.442064+08:00,application/octet-stream
E:\OBS-Studio-27.0.1-Full-Installer-x64.exe,https://obsproject.com/welcome,89945032,2021-08-16T12:00:57.723574+08:00,2021-08-16T12:10:47.493256+08:00,application/octet-stream
E:\1__4001692.exe,https://weishi.360.cn/channel.html?package=1__4001692,87897432,2022-03-21T11:10:27.616862+08:00,2022-03-21T11:11:04.28716+08:00,application/octet-stream
E:\DGSetup_Home_BZ.exe,http://www.drivergenius.com/,87561064,2021-08-17T04:24:34.626067+08:00,2021-08-17T04:25:18.445201+08:00,application/octet-stream
E:\5EClient-6.1.26.exe,https://arena.5eplay.com/download/latest,84262336,2022-03-26T09:43:37.320717+08:00,2022-03-26T09:45:31.87918+08:00,application/octet-stream
E:\sogou_pinyin_119b.exe,https://pinyin.sogou.com/,83407360,2022-04-05T08:35:46.973249+08:00,2022-04-05T08:45:24.71242+08:00,application/octet-stream
